reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
caebc38e-0ad7-48cb-b279-1b193e33a923,Wes Wolfatd,https://play-lh.googleusercontent.com/a/ACg8ocJ6XeCDMJYYObkzCmCyCI7O71dUy1b9FTKCBXUv9lcukRlqpg=mo,"I have been using trucker path for many years, but in the past year it has not been working for me, every time I open the app it stays on for a few seconds and then closes, I have sent many emails with the apps. staff and I have not yet had the issue solved. I'm starting to realize that the trucker path staff could careless.",1,2,6.6.1,2025-04-02 22:38:39,"We're sorry to know of your recent, poor experience with Trucker Path's performance, moreover, the support you so needed from our team. We'd love to get your app fixed and improve your experience of our customer service. Please reach us anytime at support@truckerpath.com so we can make a follow up.",2025-04-03 13:24:38
7b0bb3ae-5c57-4618-a171-6a3882226611,Shane Oothoudt,https://play-lh.googleusercontent.com/a/ACg8ocJO1B5efc-eG5b4LpsJEWAubOYFuJzPPq5QNwa1Kw_gmWEToA=mo,"update is garbage. first is when you pick a new place in your destination. it will reroute to default route and not the route chosen. Secondly, the truck stops, and distances are off. The last thing it glitches more, and i have uninstalled and reinstalled. I loved the app before, but now it almost is like a waste of money.",1,0,,2025-03-29 06:01:42,We're sorry to know of your Trucker Path app's poor performance post update. We'd love to help troubleshoot these issues and optimize your app's function. Please reach us anytime at support@truckerpath.com.,2025-04-02 14:13:42
0ce98a22-ac42-4935-baeb-ffef192b60c3,Michael King,https://play-lh.googleusercontent.com/a/ACg8ocLHR7hfIPrn_jHrrcjbnnqtsjN3dmX0PfOBAMoIRbUPUjc3tw=mo,incorrect navigation - incorrect truck routing @ no zones,1,0,6.5.7,2025-03-29 03:37:12,We're sorry to know of your poor experience of Trucker Path's navigational performance. We'd love to help troubleshoot this issue by checking the routes on your trips that were affected. Please reach us anytime at support@truckerpath.com so we can further help.,2025-04-02 14:12:38
15156bae-34fb-46d2-850a-61380a5916ac,Bernie Deherrera,https://play-lh.googleusercontent.com/a-/ALV-UjUSNe5Y0P-pDrgcKqw_RiJFc_sLh9LoMxQtxzZX_aFsspzPKD3C,"Did not like TPath format, so I canceled . Don't seem to be canceled. How do I get my money back.",1,0,,2025-03-24 09:32:16,"We're sorry to know you've decided to end your Trucker Path subscription. The cancellation process depends on which platform you've made the purchase. Please reach us anytime at support@truckerpath.com, we'd love to help check this process for you and verify your membership.",2025-03-24 14:04:20
7100b022-0f16-494b-81e7-064ff40f2cf7,Mike Alexander,https://play-lh.googleusercontent.com/a-/ALV-UjUPUVik6PwSGoLGLdHBZ5CvvrO_a2EDBx4rGB6KrQcyOabAdFLR,I've been trying to cancel this service for over a year and I keep getting charged 32.57 per month for diamond service. this company is in for a lawsuit if they don't stop charging me and regions me for at least 12 months.,1,0,6.5.8,2025-03-20 00:54:36,We're sorry to know you're having billing difficulties with your Trucker Path subscription. Please reach us at support@truckerpath.com so we can further help.,2025-03-20 21:28:31
ba99f83c-0912-4c5d-84f2-2d42f82dcb23,Lowell “Bud” Hendrickson,https://play-lh.googleusercontent.com/a/ACg8ocIfb8OhepLxU839j2lsYZBHPCyWwhpwbduZWFIUCWjU3hoU2g=mo,disappointed immediately because to access the truck routes in map navigation you have to subscribe and pay $20-30 per month. not worth it for only occasional use. NO THANK YOU,1,0,6.5.8,2025-03-20 00:09:18,"While the basic navigation of Trucker Path is free, like all navigational apps specific and enhanced features do need a subscription. This is to help our developers who work hard in making sure the app get as much updates or improvements as possible for a seamless performance. Thank you.",2025-03-20 21:27:56
6664af77-ce20-4452-898d-7b5a837d778a,Brian Putney,https://play-lh.googleusercontent.com/a/ACg8ocKGqRQyFqEmK4L7XklxBD4C0IaJfrO5a4RQZHcz-lfBUmRBVw=mo,this map is old out dated and trash,1,0,,2025-03-19 14:26:52,We're sorry to know you're finding our app's navigational performance and interface of poor design. We'd love to help with the specific issues you've encountered and experienced so we can improve our app's performance to your trips. Please reach us anytime at support@truckerpath.com,2025-03-19 18:07:21
c8bde234-f235-4828-a189-05f2b7b1f74d,Rich Royale,https://play-lh.googleusercontent.com/a-/ALV-UjW4dh2WqK714pEMqBB36Az0evKLyto2C4RV6yA1M170Aj1RMMo,"The app won't let me do a monthly gold subscription because it starts with a free 7 day free trial. Since I've already done that subscription in the past w the free trial, now I can't get a monthly gold subscription at all. I couldn't care any less about the free 7 day trial. I just need the monthly subscription without being forced to get an annual subscription to get the gold perks. Big L Trucker Path",1,0,6.5.8,2025-03-15 03:40:53,"We're sorry to know you're having difficulties with your Trucker Path membership. We'd love to help sort your subscription, please reach us anytime at support@truckerpath.com.",2025-03-17 13:18:45
8be79c6c-f77c-4b56-8149-810b640fe133,Andrei Begu,https://play-lh.googleusercontent.com/a/ACg8ocJC1IhUrJ3YD4IvuDLd1D04gryYjSa5goF7j_-XynPjk_tO0g=mo,"The app works great. I am trying to buy the annual subscription for diamond, witch is supposed to be 249 a year, but in reality is asking for 369. How can I pay the amount advertised in the app for 249$ a year. Is there any way to pay the amount advertised for a year or I'd better forget about this app.",1,0,6.5.7,2025-03-13 06:56:05,"We're sorry to know you're having difficulties with your Trucker Path app purchase. We'd love to help you complete your subscription with the right rates too, please reach us anytime at support@truckerpath.com.",2025-03-14 13:20:54
98df3281-fafb-4d66-af13-5e850a0b5c6b,Brandon,https://play-lh.googleusercontent.com/a-/ALV-UjVEByY3npLG1ubPiou_IAfJt81QJ3MPkBnq8ZZZc9Qp3aqZPhl0,"7 day TRIAL IS a trick and will automatically subscribe you for one year, and you can't get out of it. (With Gold Version) Bloated with fuel advertising/ question pop-ups. Slow app compared to others, especially when ""looking for route"" loading must be server based because its slow. Very, very slim or no useful/ current road construction/ closed road data. *Random detour off, then on a good road that was unessasary. *Toll calculator is wrong by a lot. Reality= $50.90 (State website), app= $22",1,24,6.5.7,2025-03-11 19:00:03,"We're sorry to know of your experience with Trucker Path's subscription process and performance during your trips. We'd love to help troubleshoot your app's navigational functions, walk you through the features, as well as check your membership details. Please reach us anytime at support@truckerpath.com.",2025-03-14 13:15:12
91a45f06-26fd-4752-b4b9-3617f69b6732,Roman S,https://play-lh.googleusercontent.com/a/ACg8ocIs7s6NOLYUuEMlJJ7OzSQ3U_mUtJ2g2_1555_bjsuTQLE0mg=mo,"NOT RECOMMEND!! Used to be a great app a few years ago. Q:1 how do I shut off all the unnecessary alert? ie: animal ahead, curve ahead ect.. all useless Q:2 what happened to the driver reviews? Places that had hundreds of reviews now show 2-10? Seems like the app wants to cater to businesses NOT the driver by allowing compaies to remove reviews and start advertising regardless of whether I have them selected or not. After yrs of the yearly subscriptions, We will not be re-upping anymore.",1,4,6.5.7,2025-03-11 02:16:31,"We're sorry to know you're finding Trucker Path's features not helpful recently. We'd love to walk you through your app settings. We encourage transparency of user reviews posted on listed businesses on the app, however we also want it constructive or professional. You can reach us anytime at support@truckerpath.com for assistance.",2025-03-11 18:40:56
3fc51ff2-2228-4c88-af68-fe725c5e2aec,sarah Cook,https://play-lh.googleusercontent.com/a/ACg8ocLHzbLJjcOZ03W_1A2SmLqMOePJOUMeexEv_NhOqxFj_gRwNQ=mo,Don't use the fuel option it doesn't work and there just stealing your money for 24hrs! You can't call them or message them. My bank will know this is a fraud charge.,1,0,6.5.7,2025-03-10 18:22:38,"We're sorry to know how it seems you've had some trouble with your fuel reserve purchase. With some more details from you we'd love to help resolve this, please reach us anytime at support@truckerpath.com.",2025-03-11 18:35:38
a7cb25e2-fa17-4098-80d7-7ff89a398a17,SamSky NYC,https://play-lh.googleusercontent.com/a-/ALV-UjVF2BRHKjv_53UhHrX968OvNNbBjXEr6oL_k0HHxgr1pkGZIMs,"Hi there Please add function where once you zoomed in or zoomed out the map as much as you wanted the map locks at the zoomed distance i miss a lot off turns because map won't stay at my zoomed in distance , the view is to far",1,0,6.5.7,2025-03-09 12:44:16,"Thank you for sharing your feedback of Trucker Path's mapping interaction. We'd love to have our developers look into this enhancement, please reach us at support@truckerpath.com so we can log a ticket for this and hopefully consider this for the app's next updates. Thank you.",2025-03-10 14:43:07
106738f7-da8f-4714-9832-54cf56cf9d9a,Ruby Tice-Moles,https://play-lh.googleusercontent.com/a-/ALV-UjWKI1xBL6gpaMGRG1scZYq0SYw6lAB27djSp7a02axdyH5xSzg,I'm not a trucker stop showing it in my game I'm playing!!!,1,0,,2025-03-08 17:38:56,"We're sorry how our ad is interrupting your gameplay, perhaps you may want to subscribe to your app game to have an ad free experience? Thank you.",2025-03-10 14:35:29
00687371-e81c-4127-b84d-c703826e3656,Andrew K,https://play-lh.googleusercontent.com/a-/ALV-UjW91UE3eCwM5X-Pv6hxyLf3jWKcfQ_5plyCeFh9kPZw8BGHrTcS,"NO PARKING UPDATE BUTTON on a Samsung Galaxy Tab S9 FE... fuel update yes, not truck parking update button",1,0,6.5.7,2025-03-06 05:46:54,"The feature to update parking status is actually a part of one of Trucker Path's subscription packages. We can help you choose which plan would work best for your trucking, please reach us anytime at support@truckerpath.com.",2025-03-06 15:55:08
3e00f1bc-4c62-4410-964f-82e0f54f98c6,Travic DeLeon,https://play-lh.googleusercontent.com/a/ACg8ocKCbviBor-p8x2159RzC989EpE6bS0m4piL_1iImi3Pev_DnQ=mo,"I used to use this app years ago. The free version no longer finds truck routes, just car routes. There doesn't seem to be an option for providing updates on roads that are not for trucks. The trucks that come through my area are constantly getting stuck due to missdirection and I just found out this app was routing them.",1,4,5.6.9,2025-03-03 18:46:29,"We're sorry to give you this impression, but indeed, Trucker Path's specialized truck features do require a billed membership. We'd love to discuss with you the most that you can get out of our app's performance when you subscribe. Please reach us at support@truckerpath.com.",2025-03-05 18:24:42
a30070e4-f7cb-4d18-9c58-2cb71f92125c,TooEcchi ForYou,https://play-lh.googleusercontent.com/a-/ALV-UjUmL-38hSnwnMA0r38W6Gu8IXGH5g3w0S2lp4K-8Nbvs-SFJZT5,Was working perfectly now not even the weigh stations or fuel shows,1,0,,2025-03-03 14:02:43,"It seems you may have accidentally disabled these categories from your Trucker Path app's filter settings. We'd love to help fix your app's features, please reach us anytime at support@truckerpath.com.",2025-03-03 16:27:22
